featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Woinglek,Woinglek,,28.64,8.41,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Mabur,Mabur,,28.14022862,8.414289586,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Ayer,Ayer,,29.11359148,8.415303891,Warrap,Tonj North,Akop,Maguen,44,28.9168122,8.246538645,1278,29.13417144,8.366791598,302,29.27997532,8.413533565
Mashraar Ragg,Mashraar Ragg,Meshra Rek,29.2711906,8.4167624,Warrap,Tonj North,Akop,Acholok,44,28.9168122,8.246538645,1276,29.36894959,8.458515933,302,29.27997532,8.413533565
Mogok,Mogok,,28.90633,8.41683,Warrap,Tonj North,Rual-bet,Kuanyiel,44,28.9168122,8.246538645,1297,28.87765697,8.239575025,310,28.95412109,8.154655095
Pankot,Pankot,,29.17690253,8.416853031,Warrap,Tonj North,Akop,Maguen,44,28.9168122,8.246538645,1278,29.13417144,8.366791598,302,29.27997532,8.413533565
Fing Dit,Fing Dit,,28.34435514,8.416982699,Warrap,Gogrial East,Toch West,Malual Awien,41,28.59139128,8.600532026,1208,28.30453418,8.406605982,281,28.32909235,8.462330446
Ruot,Ruot,,28.53497528,8.423355663,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Akong,Akong,,28.39749007,8.431834193,Warrap,Gogrial East,Toch North,Mayomchol,41,28.59139128,8.600532026,1207,28.4000035,8.409043133,280,28.54515069,8.757233115
Kar-Ajak,Kar-Ajak,Karajak,28.04063095,8.432720318,Warrap,Gogrial West,Gogrial,Maluilajak,42,28.10580194,8.57656553,1226,27.9760807,8.467592431,287,28.03302642,8.496977221
Kwel,Kwel,,28.58818505,8.435897528,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Kwaichor,Kwaichor,,28.61049564,8.438000634,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Reng,Reng,,28.69569592,8.438703988,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Lal' Tau,Lal Tau,,28.09064953,8.441227203,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
